Arrival_Date,Modal_Price
2016-01-31,63167.74193548387
2016-02-29,61922.41379310345
2016-03-31,63708.87096774193
2016-04-30,67891.66666666667
2016-05-31,70657.25806451614
2016-06-30,69646.66666666667
2016-07-31,68798.3870967742
2016-08-31,68341.93548387097
2016-09-30,69641.66666666667
2016-10-31,68903.2258064516
2016-11-30,65596.66666666667
2016-12-31,65970.96774193548
2017-01-31,66016.12903225806
2017-02-28,65232.142857142855
2017-03-31,63455.645161290326
2017-04-30,57208.333333333336
2017-05-31,52527.41935483871
2017-06-30,48473.333333333336
2017-07-31,48333.06451612903
2017-08-31,45396.77419354839
2017-09-30,45530.833333333336
2017-10-31,40000.0
2017-11-30,38754.166666666664
2017-12-31,39007.25806451613
2018-01-31,39430.645161290326
2018-02-28,38391.96428571428
2018-03-31,37350.8064516129
2018-04-30,37320.833333333336
2018-05-31,37065.32258064516
2018-06-30,36995.833333333336
2018-07-31,18669.354838709678
2018-08-31,18334.677419354837
2018-09-30,36883.333333333336
2018-10-31,36645.16129032258
2018-11-30,36716.666666666664
2018-12-31,36241.93548387097
2019-01-31,35346.77419354839
2019-02-28,34750.0
2019-03-31,33278.22580645161
2019-04-30,32879.166666666664
2019-05-31,34209.67741935484
2019-06-30,33754.166666666664
2019-07-31,32705.645161290322
2019-08-31,32225.8064516129
2019-09-30,32608.333333333332
2019-10-31,32282.25806451613
2019-11-30,31033.333333333332
2019-12-31,31620.967741935485
2020-01-31,31979.83870967742
2020-02-29,31228.44827586207
2020-03-31,29875.0
2020-04-30,28558.333333333332
2020-05-31,30040.322580645163
2020-06-30,31866.666666666668
2020-07-31,31362.90322580645
2020-08-31,30075.0
2020-09-30,32283.333333333332
2020-10-31,32278.629032258064
2020-11-30,32511.666666666668
2020-12-31,32947.17741935484
2021-01-31,32697.983870967742
2021-02-28,32925.892857142855
2021-03-31,34282.25806451613
2021-04-30,37375.0
2021-05-31,37772.25806451613
2021-06-30,40605.333333333336
2021-07-31,43250.0
2021-08-31,42783.87096774193
2021-09-30,40854.166666666664
2021-10-31,41586.6935483871
2021-11-30,48640.416666666664
2021-12-31,51671.77419354839
2022-01-31,49217.74193548387
2022-02-28,49862.05357142857
2022-03-31,50822.58064516129
2022-04-30,51082.083333333336
2022-05-31,49955.645161290326
2022-06-30,47706.25
2022-07-31,48561.290322580644
2022-08-31,49383.06451612903
2022-09-30,49527.5
2022-10-31,48862.096774193546
2022-11-30,47766.666666666664
2022-12-31,49435.48387096774
2023-01-31,49293.54838709677
2023-02-28,49612.5
2023-03-31,48869.354838709674
2023-04-30,49510.0
2023-05-31,49501.6129032258
2023-06-30,49098.333333333336
2023-07-31,50533.87096774193
2023-08-31,58353.22580645161
2023-09-30,62614.666666666664
2023-10-31,60767.25806451613
2023-11-30,59470.0
2023-12-31,58962.903225806454
2024-01-31,59240.32258064516
2024-02-29,57427.58620689655
2024-03-31,56780.645161290326
2024-04-30,55585.0
2024-05-31,58066.45161290323
2024-06-30,61808.333333333336
2024-07-31,67772.58064516129
2024-08-31,69382.25806451614
2024-09-30,65090.0
2024-10-31,61391.93548387097
2024-11-30,61638.333333333336
2024-12-31,63307.74193548387
2025-01-31,62273.709677419356
2025-02-28,64906.25
2025-03-31,64853.22580645161
2025-04-30,70538.33333333333
2025-05-31,67361.29032258065
2025-06-30,64810.0
2025-07-31,61053.22580645161
2025-08-31,64679.032258064515
2025-09-30,67151.66666666667
2025-10-31,67366.12903225806
2025-11-30,66950.0
